data,hora,taxa
2022/12/06,11:07:33,13.215091036404951
2022/12/06,11:07:35,13.846561234249002
2022/12/06,11:07:37,13.487955583254402
2022/12/06,11:07:39,13.538470533005649
2022/12/06,11:07:40,13.647543468071577
2022/12/06,11:07:42,13.403393018282953
2022/12/06,11:07:44,13.412073855810688
2022/12/06,11:07:46,13.548549357646232
2022/12/06,11:07:48,13.273775443190052
2022/12/06,11:07:51,13.839394065972552
2022/12/06,11:10:24,13.266490057920015
2022/12/06,11:10:26,13.437477862019529
2022/12/06,11:10:29,13.691348757421782
2022/12/06,11:10:31,13.478595776091309
2022/12/06,11:10:33,13.964687999681068
2022/12/06,11:10:35,13.614196678386438
2022/12/06,11:10:37,13.360954897996345
2022/12/06,11:10:39,13.272735769434911
2022/12/06,11:10:42,14.030365142305417
2022/12/06,11:10:44,13.423334669243866
2022/12/06,11:12:18,14.005172690869694
2022/12/06,11:12:20,13.47780280427934
2022/12/06,11:12:22,14.120354634096575
2022/12/06,11:12:24,13.914863630329055
2022/12/06,11:12:26,13.733019881458667
2022/12/06,11:12:29,13.468027140502246
2022/12/06,11:12:31,13.696668072369604
2022/12/06,11:12:33,13.97567726000504
2022/12/06,11:12:35,13.795334381717408
2022/12/06,11:12:37,13.755835846594973
2022/12/06,11:15:25,13.622392538792653
2022/12/06,11:15:29,13.64351233698201
2022/12/06,11:15:31,13.481048354391548
2022/12/06,11:15:34,13.968522219322075
2022/12/06,11:15:36,13.428172736145948
2022/12/06,11:15:38,13.57796635929562
2022/12/06,11:15:40,13.837956636882351
2022/12/06,11:15:42,13.257592238302628
2022/12/06,11:15:44,13.266852196929706
2022/12/06,11:15:47,13.304796358829357
2022/12/06,11:33:39,13.888688909639882
2022/12/06,11:33:42,14.02567966546774
2022/12/06,11:33:44,14.114004520281064
2022/12/06,11:33:46,13.579348588331195
2022/12/06,11:33:48,13.217291628148201
2022/12/06,11:33:50,14.132051444055353
2022/12/06,11:33:52,13.457107543720591
2022/12/06,11:33:54,13.699538611135706
2022/12/06,11:33:56,13.388791890622667
2022/12/06,11:33:58,14.05139430174635
